Reading config file...
2022/03/21 15:35:11 Now running. Press CTRL-C to exit.
guild ID: 830676304487120956
786987131612037181 umuPensive 2022-03-21
737496844682133545 maoThink 2022-03-21
688570177763541006 bakaWAH 2022-03-22
821240056626282516 bakaSmart 2022-03-22
821240056626282516 bakaSmart 2022-03-22
821240056626282516 bakaSmart 2022-03-22
900447948884824074 bakaWau 2022-03-22
606980165871992879 DColon 2022-03-22
684581261502971921 redcellScreams 2022-03-22
786987131612037181 umuPensive 2022-03-22
766503678101815316 scarfFang 2022-03-22
869775122670710865 wakaComfy 2022-03-22
900447948884824074 bakaWau 2022-03-22
814042343236698132 hwaWave 2022-03-22
684199059900465152 smol 2022-03-22
773006722578907136 KaltWorry 2022-03-22
900447948884824074 bakaWau 2022-03-22
786987131612037181 umuPensive 2022-03-22
737498789857853491 wakaKya 2022-03-22
356732087228694529 MitsuhaHappy 2022-03-22
398950680217255977 GWchinaSakuraThinking 2022-03-22
356732493811941377 HYPERS 2022-03-22
900447948884824074 bakaWau 2022-03-22
900447948884824074 bakaWau 2022-03-22
606980165871992879 DColon 2022-03-22
398950680217255977 GWchinaSakuraThinking 2022-03-22
606980165871992879 DColon 2022-03-22
773006722578907136 KaltWorry 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
688570177763541006 bakaWAH 2022-03-22
642903325892673546 xqcF 2022-03-22
765376212784250940 brownAwau 2022-03-22
642903325892673546 xqcF 2022-03-22
634981566816452628 WhatHaveIDone 2022-03-22
766503678101815316 scarfFang 2022-03-22
786987131612037181 umuPensive 2022-03-22
775214366391926845 akiaraLaugh 2022-03-22
606980165871992879 DColon 2022-03-22
684583765263122435 ohIAki 2022-03-22
702386434371354645 wakaS 2022-03-22
684199059900465152 smol 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
356732493811941377 HYPERS 2022-03-22
684583765263122435 ohIAki 2022-03-22
684588286496342059 YellowHopeless 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
794393262512668679 OMEGALUL 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
684583765263122435 ohIAki 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
356732493811941377 HYPERS 2022-03-22
606977852436512823 PepeLaugh 2022-03-22
375459873669906432 GWchinaAqua7 2022-03-22
900447948884824074 bakaWau 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
634977469627367454 wakeMeUpWhenItsTimeToSleep 2022-03-22
794393262512668679 OMEGALUL 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
626642947416260617 FeelsBadMan 2022-03-22
843392678665125908 peepoThink 2022-03-22
843392678665125908 peepoThink 2022-03-22
688570177763541006 bakaWAH 2022-03-22
786987131612037181 umuPensive 2022-03-22
609237433174720512 YuiBless 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
606980165871992879 DColon 2022-03-22
869804076601327666 POGETTE 2022-03-22
634977469627367454 wakeMeUpWhenItsTimeToSleep 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
